,Unnamed: 0,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
0,0,0.0,3,1.0,0.0,78756.0,1,3,5,2.0,3.0,4.0,3,130,400.00 ,250.0,0,0,0,275,3,100.0,0,3,1,1
1,1,0.0,4,1.0,0.0,78756.0,1,3,7,2.0,3.0,5.0,3,500,500.00 ,150.0,25,52,82,357,2,99.0,0,3,1,1
2,2,0.0,3,1.0,0.0,78756.0,1,3,4,1.0,1.0,2.0,3,195,150.00 ,80.0,6,36,66,341,7,100.0,0,2,0,0
3,3,0.0,4,1.0,1.0,78756.0,1,3,12,3.0,4.0,5.0,3,300,150.00 ,120.0,23,53,78,353,3,93.0,0,3,0,0
4,4,1.0,3,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,3,105,100.00 ,35.0,10,38,62,331,122,98.0,0,2,0,0
5,5,0.0,3,1.0,0.0,78757.0,1,1,1,1.0,1.0,1.0,1,150,,,13,13,25,25,0,,1,2,0,0
6,6,0.0,4,1.0,0.0,78751.0,1,3,1,1.0,1.0,1.0,3,80,500.00 ,45.0,17,45,75,350,0,,1,1,0,0
7,7,1.0,5,1.0,1.0,78756.0,1,3,2,1.0,0.0,1.0,2,85,,20.0,4,34,64,151,62,96.0,1,2,0,0
8,8,0.0,4,1.0,0.0,78751.0,1,3,2,1.0,0.0,1.0,3,90,500.00 ,45.0,20,20,20,20,0,,1,1,0,0
9,9,1.0,3,1.0,0.0,78756.0,1,3,4,1.0,1.0,2.0,3,115,500.00 ,30.0,26,56,86,357,77,99.0,0,2,0,0
10,10,1.0,3,1.0,0.0,78756.0,1,3,4,1.0,1.0,2.0,3,85,250.00 ,60.0,5,35,65,340,68,95.0,1,2,0,0
11,11,0.0,2,1.0,0.0,78751.0,1,3,2,1.0,1.0,1.0,2,85,,,0,0,0,0,0,,1,1,0,0
12,12,0.0,4,1.0,1.0,78756.0,1,3,4,1.0,2.0,3.0,2,370,,,0,0,0,0,0,,0,2,0,0
13,13,1.0,4,1.0,1.0,78756.0,1,3,6,1.0,2.0,3.0,3,125,200.00 ,89.0,14,38,65,65,62,96.0,1,3,0,0
14,14,0.0,4,1.0,0.0,78751.0,1,3,2,1.0,1.0,1.0,3,90,,,23,23,23,23,0,,1,1,0,0
15,15,0.0,2,1.0,0.0,78756.0,1,3,2,1.0,1.0,1.0,2,225,500.00 ,50.0,6,6,14,14,0,,0,1,0,0
16,16,1.0,4,1.0,1.0,78751.0,1,3,2,1.0,1.0,1.0,3,130,,,0,0,0,0,10,98.0,0,1,0,0
17,17,0.0,4,1.0,1.0,78756.0,1,3,5,1.0,2.0,2.0,3,129,350.00 ,75.0,4,23,49,324,86,96.0,0,3,0,0
18,18,0.0,5,1.0,1.0,78756.0,0,3,2,1.0,1.0,1.0,3,74,,20.0,0,0,0,0,1,80.0,0,3,0,0
19,19,0.0,5,1.0,1.0,78751.0,1,3,3,1.0,0.0,2.0,3,110,,40.0,0,0,0,0,3,100.0,0,1,0,0
20,20,0.0,4,1.0,1.0,78751.0,1,3,3,1.0,1.0,1.0,3,77,,30.0,0,0,0,0,4,75.0,0,1,0,0
21,21,0.0,4,1.0,1.0,78751.0,0,3,4,1.0,1.0,1.0,3,109,,,13,38,63,338,94,94.0,1,2,0,0
22,22,0.0,4,1.0,1.0,78756.0,1,3,4,2.0,2.0,2.0,3,219,,110.0,8,8,8,8,2,100.0,0,3,0,0
23,23,0.0,4,1.0,1.0,78756.0,1,3,6,1.5,2.0,3.0,3,185,300.00 ,,4,34,64,154,5,96.0,0,3,0,0
24,24,0.0,4,1.0,1.0,78756.0,1,1,1,1.0,1.0,2.0,2,75,,5.0,28,58,88,88,2,80.0,0,2,0,0
25,25,0.0,4,1.0,1.0,78756.0,1,1,8,2.0,1.0,1.0,2,25,,10.0,28,58,88,363,0,,0,1,0,0
26,26,0.0,3,1.0,0.0,78756.0,1,3,6,1.5,3.0,5.0,3,114,,115.0,19,44,74,349,25,93.0,0,3,0,0
27,27,0.0,4,1.0,0.0,78751.0,1,3,2,1.0,2.0,2.0,3,89,500.00 ,45.0,29,59,89,364,1,100.0,1,1,0,0
28,28,1.0,5,1.0,1.0,78756.0,1,3,4,1.0,1.0,2.0,3,115,300.00 ,75.0,16,42,72,162,21,99.0,0,2,0,0
29,29,0.0,3,1.0,0.0,78756.0,1,3,6,2.5,3.0,3.0,3,445,,,9,21,51,51,0,,1,1,0,0
30,30,0.0,2,1.0,0.0,78756.0,1,2,2,1.0,1.0,1.0,1,100,120.00 ,,8,38,68,343,0,,1,1,0,0
31,31,0.0,5,1.0,1.0,78756.0,1,3,4,1.0,1.0,1.0,3,80,300.00 ,100.0,0,19,49,324,3,100.0,0,3,0,0
32,32,0.0,1,1.0,0.0,78756.0,1,3,1,1.0,0.0,1.0,2,95,,,17,47,76,347,0,,1,1,0,0
33,33,0.0,2,1.0,0.0,78756.0,1,3,6,1.0,1.0,3.0,3,85,,25.0,0,0,0,0,0,,0,1,0,0
34,34,0.0,3,1.0,0.0,78756.0,1,3,3,1.0,2.0,2.0,2,128,,40.0,2,10,33,106,1,100.0,1,2,0,0
35,35,0.0,4,1.0,1.0,78756.0,1,3,8,2.5,4.0,3.0,3,1700,500.00 ,75.0,0,0,0,0,0,,0,2,0,0
36,36,0.0,4,1.0,1.0,78751.0,1,3,4,1.0,2.0,3.0,3,102,300.00 ,75.0,19,44,72,347,31,91.0,0,2,0,0
37,37,0.0,5,1.0,1.0,78756.0,1,3,6,2.0,3.0,3.0,3,249,,,1,1,1,1,1,100.0,0,3,0,0
38,38,0.0,3,1.0,0.0,78751.0,1,3,3,1.0,2.0,2.0,3,70,,,3,3,6,6,3,90.0,0,1,0,0
39,39,1.0,5,1.0,1.0,78756.0,1,1,2,1.0,1.0,4.0,2,25,200.00 ,18.0,0,0,0,0,16,98.0,0,2,0,0
40,40,0.0,2,1.0,0.0,78756.0,1,3,4,1.0,2.0,2.0,3,250,,,0,0,0,0,0,,0,1,0,0
41,41,0.0,4,1.0,1.0,78756.0,1,3,6,2.0,3.0,3.0,3,250,,85.0,10,40,70,345,10,88.0,0,1,0,0
42,42,0.0,4,1.0,1.0,78756.0,1,3,2,1.0,0.0,1.0,3,120,300.00 ,100.0,29,59,89,364,3,100.0,0,3,1,1
43,43,0.0,4,1.0,1.0,78731.0,1,3,4,1.0,2.0,3.0,3,149,"1,500.00 ",75.0,22,52,82,172,8,100.0,0,3,0,0
44,44,1.0,4,1.0,1.0,78756.0,1,3,4,1.0,1.0,2.0,3,105,,29.0,16,41,71,346,124,97.0,0,1,0,0
45,45,0.0,5,1.0,1.0,78756.0,1,3,6,1.5,3.0,4.0,3,225,"1,000.00 ",150.0,17,40,67,158,10,98.0,0,1,0,0
46,46,0.0,2,1.0,0.0,78756.0,1,3,6,1.0,1.0,3.0,2,150,100.00 ,50.0,0,0,0,0,0,,0,1,0,0
47,47,0.0,4,1.0,1.0,78756.0,1,3,8,3.0,4.0,4.0,3,450,400.00 ,150.0,23,53,83,358,4,100.0,0,2,0,0
48,48,0.0,4,1.0,1.0,78756.0,1,3,4,1.0,0.0,2.0,3,135,250.00 ,25.0,19,49,79,354,19,100.0,0,1,0,0
49,49,0.0,3,1.0,0.0,78756.0,1,1,1,1.0,1.0,2.0,2,54,,,22,52,82,357,1,100.0,1,1,0,0
50,50,0.0,5,1.0,1.0,78756.0,1,3,3,1.5,1.0,1.0,3,100,,,0,0,0,0,19,98.0,0,3,0,0
51,51,0.0,6,1.0,1.0,78756.0,0,3,2,1.0,1.0,1.0,3,100,100.00 ,,20,50,80,355,12,93.0,0,2,0,0
52,52,0.0,1,1.0,0.0,78756.0,1,3,4,1.0,1.0,2.0,3,250,,,0,0,0,0,0,,0,1,0,0
53,53,0.0,3,1.0,0.0,78751.0,1,3,3,1.0,1.0,1.0,3,89,,60.0,28,58,88,178,0,,0,3,0,0
54,54,0.0,5,1.0,1.0,78756.0,1,3,6,2.0,3.0,5.0,3,425,500.00 ,100.0,18,42,72,347,3,100.0,0,3,0,0
55,55,1.0,3,1.0,0.0,78756.0,1,3,6,1.0,2.0,3.0,3,129,500.00 ,80.0,21,51,81,356,1,100.0,0,1,0,0
56,56,0.0,2,1.0,0.0,78756.0,1,3,8,2.0,3.0,3.0,3,500,,,30,60,90,365,0,,0,1,0,0
57,57,1.0,4,1.0,1.0,78756.0,1,3,2,1.0,1.0,1.0,3,110,,35.0,0,9,14,35,22,99.0,0,2,0,0
58,58,0.0,3,1.0,0.0,78756.0,1,3,4,1.0,1.0,1.0,3,178,,158.0,22,50,80,172,0,,0,3,0,0
59,59,0.0,5,1.0,1.0,78756.0,1,3,5,1.5,2.0,3.0,3,200,500.00 ,125.0,0,0,0,0,1,100.0,0,3,0,0
60,60,0.0,5,1.0,1.0,78751.0,1,1,3,1.0,1.0,1.0,2,30,,5.0,21,51,81,170,0,,1,1,0,0
61,61,0.0,5,1.0,1.0,78756.0,1,2,3,1.0,1.0,1.0,3,150,,,23,53,82,82,0,,1,2,0,0
62,62,0.0,3,1.0,0.0,78705.0,0,3,2,1.0,1.0,1.0,3,250,,90.0,29,59,89,364,0,,0,3,0,0
63,63,0.0,5,1.0,1.0,78751.0,1,3,4,1.0,1.0,3.0,3,99,,30.0,0,0,12,12,0,,1,2,0,0
64,64,1.0,6,1.0,1.0,78756.0,0,3,4,2.0,2.0,2.0,3,75,150.00 ,150.0,0,14,43,113,0,,1,1,0,0
65,65,0.0,2,1.0,0.0,78751.0,0,1,1,1.0,1.0,1.0,1,100,100.00 ,,0,0,0,0,0,,1,1,0,0
66,66,0.0,4,1.0,1.0,78756.0,1,1,6,2.0,1.0,6.0,2,30,,10.0,21,51,81,356,8,100.0,0,1,0,0
67,67,0.0,4,1.0,1.0,78756.0,1,3,8,3.0,4.0,5.0,3,430,500.00 ,200.0,4,4,4,4,0,,0,3,0,0
68,68,0.0,2,1.0,0.0,78756.0,1,3,2,1.0,0.0,1.0,3,350,,,24,54,84,84,0,,1,1,0,0
69,69,0.0,4,1.0,1.0,78756.0,1,1,2,1.0,1.0,1.0,2,75,200.00 ,10.0,0,0,0,0,0,,0,1,0,0
